"","genus","OGT"
"163","Leptospira","29.12338278957"
"164","Salegentibacter","28.2269652319978"
"165","Methylobacillus","32.248595085523"
"166","Geodermatophilus","30.8652191902017"
"167","Agrococcus","20.6372430096946"
"168","Bradyrhizobium","29.8852572408625"
"169","Allochromatium","30.1250560838156"
"170","Reinekea","27.5838153957405"
"171","Hoeflea","29.5081441920697"
"172","Octadecabacter","15.0508073496276"
"173","Oceanithermus","60.0673822199711"
"174","Weissella","29.5960409287824"
"175","Asticcacaulis","26.0555904296142"
"176","Hydrogenobaculum","58.1749732564354"
"177","Sphaerochaeta","28.4133812258209"
"178","Thermanaerovibrio","54.6529368293461"
"179","Glaciecola","18.1335625469895"
"180","Corallococcus","28.033928142612"
"181","Kosakonia","31.0949505739932"
"182","Kordiimonas","35.5246242730107"
"183","Gramella","28.8754260860581"
"184","Stappia","28.6347252073321"
"185","Thermodesulfovibrio","59.4003902246208"
"186","Rathayibacter","24.6311230509374"
"187","Methylocaldum","38.2327755681243"
"188","Pseudophaeobacter","21.2519862716405"
"189","Runella","31.5861145077878"
"190","Roseivivax","30.8619275636493"
"191","Exiguobacterium","27.8165177916596"
"192","Clostridium_I","31.1313002348934"
"193","Cronobacter","34.5509301670156"
"194","Phaeobacter","26.1127109733953"
"195","Virgibacillus","36.8299252026504"
"196","Stenotrophomonas","30.4327412100944"
"197","Phenylobacterium","28.3045490046935"
"198","Pontibacter","29.773043605425"
"199","Endozoicomonas","25.0366718197602"
"200","Pectobacterium","26.8432663259757"
"201","Microbulbifer","34.1000806261168"
"202","Zunongwangia","28.150362403806"
"203","Methylocystis","25.5443636028102"
"204","Salinicola","32.9988508310885"
"205","Antarctobacter","20.7966325704618"
"206","Actinokineospora","27.4259687089804"
"207","Marinifilum","24.2890451797015"
"208","Hydrogenovibrio","32.9881567061261"
"209","Acidithiobacillus","29.7510039619047"
"210","Thermoanaerobacterium","57.3290455070272"
"211","Pseudoclavibacter","28.1560056211177"
"212","Skermanella","29.8695586068502"
"213","Subtercola","18.0639562885513"
"214","Bowmanella","31.6747168623058"
"215","Proteiniphilum","36.4263363275746"
"216","Cryobacterium","19.0623052699402"
"217","Chryseobacterium","27.2707543070385"
"218","Friedmanniella","26.9905109018743"
"219","Cellulomonas","28.6348054044154"
"220","Yoonia","28.3361124143209"
"221","Chitinimonas","31.1874904836123"
"222","Marinobacterium","24.7698756304712"
"223","Maribacter","25.2546742474772"
"224","Blastococcus","30.6282759188891"
"225","Yersinia","29.7381708577178"
"226","Meiothermus","53.1269981230869"
"227","Borreliella","34.5043564752795"
"228","Kribbella","28.2950108528476"
