,accession,domain,phylum,class,order,family,genus,species,OGT,selected
0,GB_GCA_000814675.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,pseudoalteromonas distincta,13.75,True
1,GB_GCA_002243605.1,Bacteria,Firmicutes,Bacilli,Bacillales,Anoxybacillaceae,Geobacillus,geobacillus lituanicus,56.66666666666666,True
2,GB_GCA_003263785.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,vibrio variabilis,31.5,False
3,GB_GCA_014652975.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,kocuria marina,23.5,False
4,RS_GCF_000009365.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae,Alcanivorax,alcanivorax borkumensis,28.25,True
5,RS_GCF_000009905.1,Bacteria,Firmicutes_E,Symbiobacteriia,Symbiobacteriales,Symbiobacteriaceae,Symbiobacterium,symbiobacterium thermophilum,60.0,True
6,RS_GCF_000009945.1,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,chlamydophila felis,35.875,True
7,RS_GCF_000014445.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,leuconostoc mesenteroides,28.7202777777778,False
8,RS_GCF_000016565.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,pseudomonas_e mendocina_a,28.75,False
9,RS_GCF_000017405.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A,Rhizobiaceae_A,Ochrobactrum,ochrobactrum anthropi,27.875,True
10,RS_GCF_000019085.1,Bacteria,Firmicutes_A,Thermoanaerobacteria,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,thermoanaerobacter pseudethanolicus,64.02799999999999,True
11,RS_GCF_000019185.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,shewanella halifaxensis,11.666666666666666,True
12,RS_GCF_000019845.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia,beijerinckia indica,26.0,True
13,RS_GCF_000021725.1,Bacteria,Campylobacterota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,nautilia profundicola,40.833333333333336,True
14,RS_GCF_000023065.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Tolumonas,tolumonas auensis,22.0,True
15,RS_GCF_000024325.1,Bacteria,Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobium,desulfohalobium retbaense,36.1875,True
16,RS_GCF_000024545.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Stackebrandtia,stackebrandtia nassauensis,26.667,True
17,RS_GCF_000025725.1,Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Denitrovibrionaceae,Denitrovibrio,denitrovibrio acetiphilus,36.0,True
18,RS_GCF_000152865.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,erythrobacter sp000152865,32.0,True
19,RS_GCF_000166195.2,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,mucilaginibacter paludis,20.5,False
20,RS_GCF_000169375.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,marinobacter sp000169375,13.5,True
21,RS_GCF_000175615.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,rothia mucilaginosa,29.5,True
22,RS_GCF_000186225.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,bacteroides helcogenes,32.5,False
23,RS_GCF_000220235.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,prevotella nigrescens,32.5,True
24,RS_GCF_000231055.2,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Saccharomonospora,saccharomonospora azurea,32.5,False
25,RS_GCF_000233775.1,Bacteria,Synergistota,Synergistia,Synergistales,Thermovirgaceae,Thermovirga,thermovirga lienii,57.0,True
26,RS_GCF_000241525.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Comamonas,comamonas testosteroni,29.8666666666667,True
27,RS_GCF_000252955.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Xenorhabdus,xenorhabdus nematophila,26.0,True
28,RS_GCF_000260835.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Imtechella,imtechella halotolerans,33.5,True
29,RS_GCF_000264295.1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,rhodanobacter spathiphylli,35.0,False
30,RS_GCF_000281175.1,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,Caldilinea,caldilinea aerophila,55.0,True
31,RS_GCF_000312105.1,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,aeromicrobium massiliense,31.0,False
32,RS_GCF_000312365.2,Bacteria,Firmicutes_A,Clostridia,Tissierellales,Peptoniphilaceae,Anaerococcus,anaerococcus provencensis,36.0,True
33,RS_GCF_000328765.2,Bacteria,Firmicutes_A,Thermosediminibacteria,Thermosediminibacterales,Tepidanaerobacteraceae,Tepidanaerobacter,tepidanaerobacter acetatoxydans,38.75,True
34,RS_GCF_000332995.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Gordonia,gordonia amicalis,27.5,False
35,RS_GCF_000344135.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Gordonia,gordonia malaquae,29.5,False
36,RS_GCF_000346615.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Nafulsella,nafulsella turpanensis,33.5,True
37,RS_GCF_000350165.1,Bacteria,Firmicutes_F,Halanaerobiia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,halanaerobium saccharolyticum,38.5,False
38,RS_GCF_000355675.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,DSM-6294,Thalassolituus,thalassolituus oleivorans,21.375,True
39,RS_GCF_000372425.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,streptococcus ferus,39.5,False
40,RS_GCF_000381045.1,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Thermus,thermus scotoductus,66.18333333333334,True
41,RS_GCF_000423325.1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,lysobacter defluvii,29.5,True
42,RS_GCF_000423405.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesonia,mesonia mobilis,29.0,True
43,RS_GCF_000423665.1,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,solirubrobacter soli,26.5,True
44,RS_GCF_000426605.1,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionibacterium,propionibacterium acidifaciens,35.0,False
45,RS_GCF_000427665.1,Bacteria,Proteobacteria,Alphaproteobacteria,Geminicoccales,Geminicoccaceae,Geminicoccus,geminicoccus roseus,32.5,True
46,RS_GCF_000428485.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Epilithonimonas,epilithonimonas tenax,20.0,True
47,RS_GCF_000429405.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,algoriphagus marincola,35.0,True
48,RS_GCF_000429925.1,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatirhabdiaceae,Desulfatirhabdium,desulfatirhabdium butyrativorans,29.0,True
49,RS_GCF_000471625.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,psychrobacter aquaticus,22.0,False
50,RS_GCF_000473995.1,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium,clostridium saccharobutylicum,33.5,False
51,RS_GCF_000511355.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Leisingera,leisingera methylohalidivorans,20.0,True
52,RS_GCF_000517025.1,Bacteria,Firmicutes_F,Halanaerobiia,Halobacteroidales,Halobacteroidaceae,Halonatronum,halonatronum saccharophilum,40.0,True
53,RS_GCF_000518645.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Curvibacter,curvibacter gracilis,27.5,True
54,RS_GCF_000519325.1,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Patulibacter,patulibacter minatonensis,26.3335,False
55,RS_GCF_000524475.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Tomitella,tomitella biformata,20.0,True
56,RS_GCF_000741255.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,bifidobacterium magnum,37.667,False
57,RS_GCF_000744735.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,Porticoccus,porticoccus hydrocarbonoclasticus,15.0,True
58,RS_GCF_000745375.1,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylobacter,methylobacter whittenburyi,32.5,True
59,RS_GCF_000771745.2,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Thermus_A,thermus_a filiformis,70.0,True
60,RS_GCF_000772705.2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,xanthomonas vasicola,27.722,True
61,RS_GCF_000819985.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,aeromonas media,22.0,False
62,RS_GCF_000820505.1,Bacteria,Desulfobacterota,Desulfuromonadia,Desulfuromonadales,Geoalkalibacteraceae,Geoalkalibacter,geoalkalibacter ferrihydriticus,35.0,True
63,RS_GCF_001027105.1,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,staphylococcus aureus,35.21212328767125,False
64,RS_GCF_001043955.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,methylobacterium tarhaniae,26.5,False
65,RS_GCF_001190945.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Luteipulveratus,luteipulveratus mongoliensis,24.0,True
66,RS_GCF_001263415.1,Bacteria,Firmicutes_B,Thermincolia,Thermincolales,Thermincolaceae,Thermincola,thermincola ferriacetica,58.333333333333336,True
67,RS_GCF_001304695.1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,xanthomonas axonopodis,27.75,False
68,RS_GCF_001437255.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,pediococcus damnosus,26.0,True
69,RS_GCF_001509405.1,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,aeromicrobium erythreum,35.0,False
70,RS_GCF_001552615.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Millisia,millisia brevis,32.5,True
71,RS_GCF_001570585.1,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Herbidospora,herbidospora daliensis,29.0,True
72,RS_GCF_001570865.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Rothia,rothia kristinae,31.0,False
73,RS_GCF_001570945.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Janibacter,janibacter anophelis,35.0,True
74,RS_GCF_001575205.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Tsukamurella,tsukamurella pseudospumae,23.5,False
75,RS_GCF_001579945.1,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,steroidobacter denitrificans,29.0,True
76,RS_GCF_001590965.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,novosphingobium lentum,22.0,False
77,RS_GCF_001592285.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Hydrogenophaga,hydrogenophaga pseudoflava,32.5,False
78,RS_GCF_001633165.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum,rhodovulum sulfidophilum,25.3333333333333,True
79,RS_GCF_001654455.1,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niabella,niabella ginsenosidivorans,27.5,False
80,RS_GCF_001661915.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Croceicoccus,croceicoccus pelagius,33.5,False
81,RS_GCF_001682385.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azoarcus,azoarcus olearius,37.5,True
82,RS_GCF_001890925.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktotalea,planktotalea frisia,21.666666666666668,True
83,RS_GCF_001953175.1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalogenimonas,dehalogenimonas formicexedens,32.0,False
84,RS_GCF_002028405.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Thiomonas,thiomonas intermedia,29.58333333333335,True
85,RS_GCF_002086125.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,mycobacterium arosiense,42.0,True
86,RS_GCF_002095535.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,pantoea cypripedii,27.3333333333333,False
87,RS_GCF_002217205.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,flavobacterium branchiophilum,20.125,False
88,RS_GCF_002218025.2,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,vibrio casei,29.0,False
89,RS_GCF_002290085.1,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mesoplasma,mesoplasma chauliocola,34.5,True
90,RS_GCF_002563965.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,corynebacterium renale,35.25,False
91,RS_GCF_002631205.1,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella_A,lewinella_a marina,27.5,True
92,RS_GCF_002847285.1,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,streptomyces sp002847285,27.0,False
93,RS_GCF_002902365.1,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,staphylococcus cohnii,34.4285714285714,False
94,RS_GCF_002923755.1,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylovulum,methylovulum psychrotolerans,22.5,True
95,RS_GCF_002937075.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus,rhodoblastus sphagnicola,23.75,True
96,RS_GCF_002995795.1,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium_H,clostridium_h thermopalmarium,55.0,True
97,RS_GCF_003001905.1,Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,DSM-44946,Planifilum,planifilum fimeticola,59.333333333333336,True
98,RS_GCF_003050705.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,sphingomonas aurantiaca,22.0,False
99,RS_GCF_003054195.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,gemmobacter caeni,30.0,False
100,RS_GCF_003063475.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans,limnohabitans curvus,32.0,True
101,RS_GCF_003201975.1,Bacteria,Firmicutes,Bacilli,Bacillales_D,Amphibacillaceae,Pseudogracilibacillus,pseudogracilibacillus auburnensis,29.0,True
102,RS_GCF_003259505.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,algoriphagus yeomjeoni,27.5,False
103,RS_GCF_003664005.1,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,hydrogenivirga caldilitoris,75.0,True
104,RS_GCF_003688415.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,DSM-25080,Umboniibacter,umboniibacter marinipuniceus,26.5,True
105,RS_GCF_003751385.1,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,DSM-9756,Desulfosoma,desulfosoma caldarium,56.0,True
106,RS_GCF_003843835.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Tibeticola,tibeticola sediminis,41.0,True
107,RS_GCF_003955735.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Undibacterium,undibacterium parvum,22.0,False
108,RS_GCF_004001025.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,paenibacillus amylolyticus,29.0,False
109,RS_GCF_004339665.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,azotobacter chroococcum,26.2,True
110,RS_GCF_004340665.1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,pedobacter psychrotolerans,10.0,True
111,RS_GCF_005048205.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinibacteraceae,Chitiniphilus,chitiniphilus eburneus,27.5,True
112,RS_GCF_007567505.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,shewanella donghaensis,17.0,True
113,RS_GCF_007859075.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,gemmobacter aquaticus,27.5,False
114,RS_GCF_007993815.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,acidovorax delafieldii,29.0,True
115,RS_GCF_007997295.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia,gillisia hiemivivida,13.0,True
116,RS_GCF_008153345.1,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema,treponema phagedenis,37.5,True
117,RS_GCF_008711285.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Roseibium,roseibium aquae,35.0,True
118,RS_GCF_008808095.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,pseudoalteromonas ruthenica,27.5,False
119,RS_GCF_008933115.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,Phaeocystidibacter,phaeocystidibacter luteus,32.5,True
120,RS_GCF_008933165.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,Phaeocystidibacter,phaeocystidibacter marisrubri,32.5,False
121,RS_GCF_009688945.1,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfosarcina,desulfosarcina alkanivorans,32.0,True
122,RS_GCF_009936215.1,Bacteria,Thermotogota,Thermotogae,Mesoaciditogales,Mesoaciditogaceae,Athalassotoga,athalassotoga saccharophila,55.0,True
123,RS_GCF_010078385.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,SCSIO-06110,Chengkuizengella,chengkuizengella sediminis,33.0,True
124,RS_GCF_010550675.1,Bacteria,Actinobacteriota,Actinomycetia,Jiangellales,Jiangellaceae,Phytoactinopolyspora,phytoactinopolyspora halotolerans,32.5,True
125,RS_GCF_011317445.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Chelativorans,chelativorans multitrophicus,29.0,True
126,RS_GCF_011761495.1,Bacteria,Firmicutes,Bacilli,Bacillales_D,Alkalibacillaceae,Alkalibacillus,alkalibacillus almallahensis,36.5,True
127,RS_GCF_011801475.1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella,xylella fastidiosa,26.724,True
128,RS_GCF_012979235.1,Bacteria,Desulfobacterota,Dissulfuribacteria,Dissulfuribacterales,Dissulfurirhabdaceae,Dissulfurirhabdus,dissulfurirhabdus thermomarina,50.0,True
129,RS_GCF_014202495.1,Bacteria,Firmicutes,Bacilli,Bacillales_D,Amphibacillaceae,Cerasibacillus,cerasibacillus quisquiliarum,50.0,True
130,RS_GCF_014202505.1,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,armatimonas rosea,32.5,True
131,RS_GCF_014207745.1,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,nonomuraea muscovyensis,29.0,False
132,RS_GCF_014644735.1,Bacteria,Firmicutes,Bacilli,Caldalkalibacillales,Caldalkalibacillaceae,Caldalkalibacillus,caldalkalibacillus thermarum,61.6665,True
133,RS_GCF_014646675.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutibacter,lutibacter litoralis,27.5,False
134,RS_GCF_014764305.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,mesoflavibacter profundi,27.5,True
135,RS_GCF_014858725.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,pseudoalteromonas aurantia,19.0,True
136,RS_GCF_015689175.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,mycobacterium kubicae,35.0,False
137,RS_GCF_015710975.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,paenibacillus polymyxa,31.75,False
138,RS_GCF_016906995.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,Spongiibacter,spongiibacter marinus,27.4165,False
139,RS_GCF_016907275.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Micromonospora,micromonospora luteifusca,29.0,False
140,RS_GCF_016907435.1,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,nocardioides salarius,27.5,False
141,RS_GCF_016907455.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermabacteraceae,Brachybacterium,brachybacterium muris,29.8335,False
142,RS_GCF_016907715.1,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Actinopolymorphaceae,Tenggerimyces,tenggerimyces flavus,26.5,True
143,RS_GCF_017753665.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,neisseria sicca_d,36.0,False
144,RS_GCF_017912535.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Nitrincolaceae,Motiliproteus,motiliproteus sediminis,31.5,True
145,RS_GCF_018127785.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,prevotella scopos,35.0,False
146,RS_GCF_018324685.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Actinocatenispora,actinocatenispora sera,21.5,True
147,RS_GCF_900099645.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,pseudomonas_e peli,33.5,False
148,RS_GCF_900106535.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcus,myxococcus xanthus,26.800855072463765,False
149,RS_GCF_900106945.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,marinobacter mobilis,32.5,False
150,RS_GCF_900107755.1,Bacteria,Firmicutes,Bacilli,Bacillales_D,Halobacillaceae,Thalassobacillus,thalassobacillus cyri,38.333333333333336,True
151,RS_GCF_900109605.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pararhizobium,pararhizobium oryzae,32.5,True
152,RS_GCF_900110735.1,Bacteria,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,streptomyces radiopugnans,35.0,False
153,RS_GCF_900113085.1,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Nevskiaceae,Fontimonas,fontimonas thermophila,47.5,True
154,RS_GCF_900116605.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,pseudomonas_e marincola,23.25,False
155,RS_GCF_900129725.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Chryseolinea,chryseolinea serpens,27.5,True
156,RS_GCF_900142435.1,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis_A,thermocrinis_a minervae,75.0,True
157,RS_GCF_900172255.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,roseovarius halotolerans,35.0,False
158,RS_GCF_900199215.1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,Amphiplicatus,amphiplicatus metriothermophilus,49.0,True
159,RS_GCF_900231835.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Monaibacterium,monaibacterium marinum,20.0,True
160,RS_GCF_900496975.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,achromobacter veterisilvae,32.5,True
161,RS_GCF_901905185.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,methylocella tundrae,20.0,False
162,GB_GCA_000333235.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,pseudoalteromonas luteoviolacea_d,20.786,False
163,GB_GCA_000517565.1,Bacteria,Campylobacterota,Desulfurellia,Desulfurellales,Desulfurellaceae,Desulfurella,desulfurella acetivorans,55.27766666666667,True
164,GB_GCA_000759755.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,citrobacter werkmanii,29.0,True
165,GB_GCA_001556025.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,bosea sp001556025,20.0,False
166,GB_GCA_004570955.1,Bacteria,Firmicutes,Bacilli,Staphylococcales,Salinicoccaceae,Jeotgalicoccus,jeotgalicoccus nanhaiensis,32.5,False
167,GB_GCA_900107365.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,flavobacterium aquidurense,23.5,False
