,accession,domain,phylum,class,order,family,genus,species,OGT,selected
1718,RS_GCF_001542775.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Microterricola,microterricola viridarii_a,18.75,True
1719,RS_GCF_001543285.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,aerococcus viridans,32.3333333333333,True
1720,RS_GCF_001552475.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Microbacterium,microbacterium oleivorans,33.5,False
1721,RS_GCF_001556515.1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,caulobacter sp001556515,20.0,False
1722,RS_GCF_001584335.1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,bacillus atrophaeus,29.644444444444435,False
1723,RS_GCF_001661965.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Croceicoccus,croceicoccus mobilis,33.5,False
1724,RS_GCF_001697225.1,Bacteria,Proteobacteria,Gammaproteobacteria,Immundisolibacterales,Immundisolibacteraceae,Immundisolibacter,immundisolibacter cernigliae,29.0,True
1725,RS_GCF_001730525.1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,arcticibacter eurypsychrophilus,12.5,True
1726,RS_GCF_001742225.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,novosphingobium resinovorum,27.25,False
1727,RS_GCF_001750285.1,Bacteria,Firmicutes,Bacilli,Bacillales_B,Domibacillaceae,Domibacillus,domibacillus iocasae,35.0,False
1728,RS_GCF_001995985.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Salinivibrio,salinivibrio sharmensis,35.0,False
1729,RS_GCF_002015085.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Glaesserella,glaesserella parasuis,36.625,True
1730,RS_GCF_002097535.1,Bacteria,Firmicutes,Bacilli,Bacillales_D,Halobacillaceae,Halobacillus,halobacillus mangrovi,34.333333333333336,False
1731,RS_GCF_002101735.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,mycobacterium kyorinense,35.0,False
1732,RS_GCF_002117105.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,DSM-21967,Oceanicoccus,oceanicoccus sagamiensis,17.5,True
1733,RS_GCF_002150685.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,algoriphagus antarcticus,20.0,False
1734,RS_GCF_002157145.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,acidovorax carolinensis,31.25,False
1735,RS_GCF_002221595.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Turicimonas,turicimonas muris,34.0,True
1736,RS_GCF_002549795.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,halomonas beimenensis,40.0,True
1737,RS_GCF_002858865.1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,caulobacter vibrioides,29.5,True
1738,RS_GCF_002925905.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,klebsiella michiganensis,35.0,True
1739,RS_GCF_002954355.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,nonlabens tegetincola,28.375,False
1740,RS_GCF_002954665.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,polaribacter glomeratus,15.0,True
1741,RS_GCF_003002875.1,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,arcticibacter pallidicorallinus,22.5,True
1742,RS_GCF_003003005.1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Mongoliibacter,mongoliibacter ruber,26.5,True
1743,RS_GCF_003026355.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Photobacterium,photobacterium kishitanii,24.0,False
1744,RS_GCF_003044445.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,neisseria mucosa_a,36.0,False
1745,RS_GCF_003148665.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter_A,maribacter_a polysiphoniae,31.0,True
1746,RS_GCF_003202035.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Aquitalea,aquitalea magnusonii,35.0,True
1747,RS_GCF_003206135.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Salinicola,salinicola salarius,27.5,False
1748,RS_GCF_003217575.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Xylophilus,xylophilus ampelinus,20.0,True
1749,RS_GCF_003258865.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,rhodoplanes roseus,32.6666666666667,False
1750,RS_GCF_003335215.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Parvibium,parvibium lacunae,31.0,True
